http://karlrosaen.com/ml/notebooks/em-coin-flips/,Day,Topic,Reading & Practice,Lecture Video,Slide Deck,Notes,Additional Files
22-Mar,Tuesday,"Unsupervised Learning
Unsupervised learning overview
K-means/medoids, agglomerative ",PRML: 9.1,"<a href = ""https://osu.zoom.us/rec/share/FgbkZ-XmWLH1fot_32GqbZM47x_rety4OaD-3EnhJ8WIJPawdgSjRogDkUJF_0Tm.-GMh2V9ZyJ5R5F0q""> 03-22-22 </a>","1.<a href = ""https://osu.instructure.com/courses/114952/modules/items/7387371"">Lecture Slides</a> ",,"1.<a href = ""/osu_cse3521_spring2022/course_materials/lecture_examples/KMeans_HierarchicalModeling.ipynb"">kMeans and Hierarchical Clustering</a>"
24-Mar,Thursday,Mixture-of-Gaussians with EM,"PRML: 9.2, 9.3.2, 9.4","<a href = ""https://osu.zoom.us/rec/share/GjPSZYQ1JvZZGYA7-p1avCeNFrUvbqsC67CSLDKzi0ajgTn6ehahnzqHUXLSPxvb.0IBPc81g5FYUQw2h""> 03-24-22 </a>","1.<a href = ""https://osu.instructure.com/courses/114952/modules/items/7387372"">Lecture Slides</a> ",,"1.<a href = ""/osu_cse3521_spring2022/course_materials/lecture_examples/EM_Algorithm.ipynb"">EM Algorithm</a>"
29-Mar,Tuesday,"Supervised Learning
Supervised learning overview
Train/Val/Test, cross-validation, overfitting ","PRML: 1.1, 1.3
AI 18.1 - 18.3","<a href = ""https://osu.zoom.us/rec/share/OAoXijkps_wLJ6Q4of0XCujFqEynwMn1RuiOAvbPXYs3gqyPW6Ga9o-eqWZij35p.QWwvsTiph8FP781p""> 03-29-22 </a>","1.<a href = ""https://osu.instructure.com/courses/114952/modules/items/7387373"">Lecture Slides</a> ",,"1.<a href = ""/osu_cse3521_spring2022/course_materials/lecture_examples/CrossValAndRegularization.ipynb"">Cross Validation and Regularization</a>"
31-Mar,Thursday,"KNN, Decision Trees, Random Forest, Boosting/Bagging","PRML: 2.5.2 
PRML: 4.1.1-4.1.3, 4.3.2 
PRML: 7.1.1-7.1.2 
PRML: 14.3, 14.4 
AI 18.4 - 18.9","<a href = ""https://osu.zoom.us/rec/share/VWitqtCyzVyvm_5wF_HTPrWXB1AqbLihFCS2nN5Stba-0fdJ5JE99zvOSAPe-lAG.K-8OEkq3dq7__ACU""> 03-31-22 </a>","1.<a href = ""https://osu.instructure.com/courses/114952/modules/items/7387374"">Lecture Slides</a> ",,"1.<a href = ""/osu_cse3521_spring2022/course_materials/lecture_examples/kNN_RandomForests.ipynb"">kNN and Random Forests</a>"
5-Apr,Tuesday,"Logistic regression, SVM-lite, Bayesian Classifier","PRML: 2.5.2 
PRML: 4.1.1-4.1.3, 4.3.2 
PRML: 7.1.1-7.1.2 
PRML: 14.3, 14.4 
AI 18.4 - 18.9","<a href = ""https://osu.zoom.us/rec/share/LUfCkCHLoCuZfYiuI0_GrY6F_8Q6xi9iVBsKsaiibZ35j3NS9r2qcQ6K5m4Ev6Fx.TWebIjzibFfYorvK""> 04-05-22 </a>","1.<a href = ""https://osu.instructure.com/courses/114952/modules/items/7387375"">Lecture Slides</a> ","1. HW3 due <br> 
2. <a href = ""https://osu.instructure.com/courses/114952/assignments/2590451"">HW 4 Released (April 4th)</a>","1.<a href = ""/osu_cse3521_spring2022/course_materials/lecture_examples/SVMandLogisticRegression.ipynb"">Logistic Regression & SVM</a>"
7-Apr,Thursday,"Neural networks
Deep learning introduction with CNN, RNN, GNN basics
perceptron",PRML: 4.1.7,"<a href = ""https://osu.zoom.us/rec/share/7P90ejK0BREMrwwI9Imr3G6kVpPXk3V8AFqoZOTdt8iLrCqr7BUAJf5aQE5yaGhl.VR7VNYmVYZUVn5BX""> 04-07-22 </a>","1.<a href = ""https://osu.instructure.com/files/42143294/"">Lecture Slides - Main </a> <br>
2.<a href = ""https://osu.instructure.com/courses/114952/modules/items/7387376"">Lecture Slides</a> ",,"1.<a href = ""/osu_cse3521_spring2022/course_materials/lecture_examples/Neural Nets-Part1.ipynb"">Neural Nets Part 1</a> <br>
2.<a href = ""/osu_cse3521_spring2022/course_materials/lecture_examples/HotDogNotHotDog.ipynb"">Hot Dog / Not Hot Dog</a> <br>
3.<a href = ""/osu_cse3521_spring2022/course_materials/lecture_examples/HotDogImageHelper.ipynb"">Hot Dog Image Helper File</a> <br>
4.<a href = ""https://osu.instructure.com/files/42143087/"">Hot Dog Training Data & Model File (Large zip)</a> 
"
12-Apr,Tuesday,"Multi-layer perceptron, backpropagation, training particulars",PRML: 5.1-5.3,"<a href = ""https://osu.zoom.us/rec/share/HU1d56Q6eq7tMaQw_-RCfLIcScZ1L9S7xXEg3ow5eQHd3yRNtK2murcm5ii_XkLv.nIxKSJNlzcHze6jY""> 04-12-22 </a>","1.<a href = ""https://osu.instructure.com/courses/114952/modules/items/7387377"">Lecture Slides</a> ",,
14-Apr,Thursday,Reinforcement Learning Basics and Examples & Ethics,Slides only,"<a href = ""https://osu.zoom.us/rec/share/Knc7CTsVIqq561FEPjNokly16CfNhSxUFo7luL0tVCgdw9keyEa_Ko47HuNpL3Sb.0HSS5-Ledvv_y9fJ""> 04-14-22 </a>","1.<a href = ""https://osu.instructure.com/files/42324829/"">Lecture Slides - Main </a> <br> 
2.<a href = ""https://osu.instructure.com/courses/114952/modules/items/7387378"">Lecture Slides</a> ",,"1.<a href = ""/osu_cse3521_spring2022/course_materials/lecture_examples/Frozen_Lake_QTable.py"">Frozen Lake</a> <br>
2.<a href = ""/osu_cse3521_spring2022/course_materials/lecture_examples/lunar_lander/"">Lunar Lander</a> <br>
3.<a href = ""https://github.com/gryslik/mario_rl/"">Mario</a> <br>"
19-Apr,Tuesday (to be rescheduled to Monday afternoon),Review,,,,,
20-Apr,Wed,Final Exam Start,,,,HW4 due (22nd April),
24-Apr,Sunday,Final Exam End,,,,,
